ime,Theta_set,Theta_input
1415,40,42.17
1416,40,41.85
1417,40,41.47
1418,40,41.11
1419,40,40.72
1420,40,40.32
1421,40,39.96
1422,40,39.61
1423,40,39.36
1424,40,39.26
1425,40,39.24
1426,40,39.26
1427,40,39.28
1428,40,39.32
1429,40,39.26
1430,40,39.13
1431,40,39
1432,40,38.89
1433,40,38.87
1434,40,38.92
1435,40,39.07
1436,40,39.29
1437,40,39.57
1438,40,39.88
1439,40,40.17
1440,40,40.33
1441,40,40.38
1442,40,40.33
1443,40,40.21
1444,40,40.11
1445,40,40.09
1446,40,40.15
1447,40,40.18
1448,40,40.08
1449,40,39.86
1450,40,39.51
1451,40,39.22
1452,40,39.09
1453,40,39.1
1454,40,39.26
1455,40,39.51
1456,40,39.79
1457,40,40.03
1458,40,40.15
1459,40,40.13
1460,40,40.07
1461,40,40
1462,40,39.98
1463,40,39.92
1464,40,39.91
1465,40,39.98
1466,40,40.09
1467,40,40.3
1468,40,40.5
1469,40,40.56
1470,40,40.56
1471,40,40.48
1472,40,40.33
1473,40,40.16
1474,40,40.01
1475,40,39.91
1476,40,39.9
1477,40,39.98
1478,40,40.15
1479,40,40.36
1480,40,40.65
1481,40,40.92
1482,40,41.02
1483,40,40.96
1484,40,40.8
1485,40,40.56
1486,40,40.3
1487,40,40.04
1488,40,39.79
1489,40,39.6
1490,40,39.51
1491,40,39.46
1492,40,39.5
1493,40,39.52
1494,40,39.52
1495,40,39.52
1496,40,39.44
1497,40,39.35
1498,40,39.26
1499,40,39.17
1500,40,39.17
1501,40,39.17
1502,40,39.21
1503,40,39.32
1504,40,39.47
1505,40,39.64
1506,40,39.78
1507,40,39.88
1508,40,39.94
1509,40,40
1510,40,40.04
1511,40,40.06
1512,40,40.04
1513,40,40.08
1514,40,40.16
1515,40,39.98
1516,40,39.53
1517,40,39.08
1518,40,38.68
1519,40,38.42
1520,40,38.36
1521,40,38.5
1522,40,38.74
1523,40,39.05
1524,40,39.4
1525,40,39.67
1526,40,39.84
1527,40,39.87
1528,40,39.8
1529,40,39.69
1530,40,39.6
1531,40,39.61
1532,40,39.63
1533,40,39.72
1534,40,39.84
1535,40,39.97
1536,40,40.08
1537,40,40.18
1538,40,40.25
1539,40,40.2
1540,40,40.02
1541,40,39.84
1542,40,39.45
1543,40,39.07
1544,40,38.86
1545,40,38.87
1546,40,38.99
1547,40,39.18
1548,40,39.42
1549,40,39.61
1550,40,39.73
1551,40,39.76
1552,40,39.77
1553,40,39.75
1554,40,39.74
1555,45,39.75
1556,45,39.77
1557,45,39.83
1558,45,39.89
1559,45,39.97
1560,45,40.05
1561,45,40.13
1562,45,40.21
1563,45,40.27
1564,45,40.32
1565,45,40.34
1566,45,40.36
1567,45,40.34
1568,45,40.33
1569,45,40.31
1570,45,40.28
1571,45,40.49
1572,45,41.37
1573,45,42.57
1574,45,43.69
1575,45,44.74
1576,45,45.75
1577,45,46.73
1578,45,47.71
1579,45,48.59
1580,45,49.48
1581,45,50.35
1582,45,51.16
1583,45,51.78
1584,45,52.12
1585,45,52.17
1586,45,51.97
1587,45,51.65
1588,45,51.22
1589,45,50.76
1590,45,50.24
1591,45,49.66
1592,45,49.04
1593,45,48.35
1594,45,47.6
1595,45,46.76
1596,45,45.89
1597,45,45.09
1598,45,44.46
1599,45,43.95
1600,45,43.6
1601,45,43.39
1602,45,43.35
1603,45,43.47
1604,45,43.67
1605,45,43.93
1606,45,44.21
1607,45,44.43
1608,45,44.54
1609,45,44.53
1610,45,44.48
1611,45,44.43
1612,45,44.38
1613,45,44.34
1614,45,44.34
1615,45,44.37
1616,45,44.42
1617,45,44.51
1618,45,44.64
1619,45,44.76
1620,45,44.92
1621,45,45.06
1622,45,45.18
1623,45,45.29
1624,45,45.37
1625,45,45.4
1626,45,45.41
1627,45,45.4
